estado,sigla,regiao,ano,casos
Rondonia,RO,Norte,1990,0
Rondonia,RO,Norte,1991,0
Rondonia,RO,Norte,1992,0
Rondonia,RO,Norte,1993,0
Rondonia,RO,Norte,1994,0
Rondonia,RO,Norte,1995,0
Rondonia,RO,Norte,1996,0
Rondonia,RO,Norte,1997,55
Rondonia,RO,Norte,1998,23
Rondonia,RO,Norte,1999,699
Rondonia,RO,Norte,2000,3193
Rondonia,RO,Norte,2001,1668
Rondonia,RO,Norte,2002,1472
Rondonia,RO,Norte,2003,2971
Rondonia,RO,Norte,2004,3048
Rondonia,RO,Norte,2005,5672
Rondonia,RO,Norte,2006,4123
Rondonia,RO,Norte,2007,3118
Rondonia,RO,Norte,2008,5765
Rondonia,RO,Norte,2009,18767
Rondonia,RO,Norte,2010,20294
Rondonia,RO,Norte,2011,3219
Rondonia,RO,Norte,2012,3292
Rondonia,RO,Norte,2013,8732
Rondonia,RO,Norte,2014,1985
Rondonia,RO,Norte,2015,2211
Rondonia,RO,Norte,2016,7769
Acre,AC,Norte,1990,0
Acre,AC,Norte,1991,0
Acre,AC,Norte,1992,0
Acre,AC,Norte,1993,0
Acre,AC,Norte,1994,0
Acre,AC,Norte,1995,0
Acre,AC,Norte,1996,0
Acre,AC,Norte,1997,0
Acre,AC,Norte,1998,0
Acre,AC,Norte,1999,0
Acre,AC,Norte,2000,1295
Acre,AC,Norte,2001,2050
Acre,AC,Norte,2002,888
Acre,AC,Norte,2003,954
Acre,AC,Norte,2004,4422
Acre,AC,Norte,2005,2196
Acre,AC,Norte,2006,258
Acre,AC,Norte,2007,518
Acre,AC,Norte,2008,2129
Acre,AC,Norte,2009,19085
Acre,AC,Norte,2010,35162
Acre,AC,Norte,2011,18865
Acre,AC,Norte,2012,2393
Acre,AC,Norte,2013,2568
Acre,AC,Norte,2014,28269
Acre,AC,Norte,2015,5317
Acre,AC,Norte,2016,2335
Amazonas,AM,Norte,1990,0
Amazonas,AM,Norte,1991,0
Amazonas,AM,Norte,1992,0
Amazonas,AM,Norte,1993,0
Amazonas,AM,Norte,1994,0
Amazonas,AM,Norte,1995,0
Amazonas,AM,Norte,1996,0
Amazonas,AM,Norte,1997,0
Amazonas,AM,Norte,1998,13894
Amazonas,AM,Norte,1999,186
Amazonas,AM,Norte,2000,6343
Amazonas,AM,Norte,2001,19249
Amazonas,AM,Norte,2002,2188
Amazonas,AM,Norte,2003,3971
Amazonas,AM,Norte,2004,902
Amazonas,AM,Norte,2005,998
Amazonas,AM,Norte,2006,578
Amazonas,AM,Norte,2007,1938
Amazonas,AM,Norte,2008,8755
Amazonas,AM,Norte,2009,1591
Amazonas,AM,Norte,2010,7524
Amazonas,AM,Norte,2011,61986
